Country,Literacy Rate,Physician Density,GDP (Current USD),GDP Growth (% Annual),GDP per Capita (Current USD),GDP per Capita Category,Unemployment Rate (%),Continent
Guyana,88.5,0.8,17159509565.0,33.80261709,20765.35036,High,12.025,South America
Haiti,61.7,0.23,19850829758.0,-1.863884203,1705.779055,Very Low,14.556,North America
Honduras,89.0,0.31,34400509852.0,3.582603626,3231.657245,Low,6.07,North America
Hungary,99.1,3.41,212389000000.0,-0.907685956,22141.86698,High,4.107,Europe
Iceland,99.0,4.08,31325116556.0,5.03717944,79636.95486,Very High,3.518,Europe
India,77.7,0.86,3567550000000.0,8.152936311,2480.792087,Low,4.172,Asia
Indonesia,96.0,0.43,1371170000000.0,5.048105771,4876.314327,Low,3.308,Asia
Iran,89.5,1.58,404626000000.0,5.044890511,4465.63767,Low,9.041,Asia
Iraq,86.5,0.71,250843000000.0,-2.93555774,5565.126446,Low,15.447,Asia
Republic of Ireland,99.0,3.31,551395000000.0,-5.530007361,103887.8004,Very High,4.288,Europe
Israel,97.1,4.62,513611000000.0,2.42300691,52642.42675,Very High,3.596,Asia
Italy,99.0,3.98,2300940000000.0,0.697632994,39003.3161,High,7.627,Europe
Jamaica,88.7,1.31,19423355409.0,2.200061472,6839.725039,Low,4.4,North America
Japan,99.0,2.41,4204490000000.0,1.679019523,33766.52683,High,2.6,Asia
Jordan,98.0,2.32,50967475352.0,2.678271538,4455.505405,Low,17.969,Asia
Kazakhstan,99.8,3.25,262642000000.0,5.1,12918.86613,Mid,4.821,Asia
Kenya,82.6,0.16,108039000000.0,5.555873013,1952.304579,Very Low,5.567,Africa
Kiribati,91.0,0.2,279208903.3,4.124590543,2106.760004,Low,30.6,Oceania
Kuwait,96.6,2.58,163705000000.0,-3.640425903,33729.79855,High,2.127,Asia
Kyrgyzstan,99.6,1.88,13987627909.0,6.151391837,1970.15781,Very Low,3.991,Asia
Laos,87.5,0.37,15843155731.0,3.745681402,2066.949798,Low,1.188,Asia
Latvia,99.9,3.19,42247850065.0,1.70679525,22502.84299,High,6.465,Europe
Lebanon,95.6,2.1,42600880514.76923,-1.321796055923077,7335.419342923076,Mid,11.543,Asia
Lesotho,80.1,0.07,2117962451.0,1.826625259,916.2829793,Very Low,16.457,Africa
Liberia,48.3,0.04,4240000000.0,4.683756888,771.8871421,Very Low,2.933,Africa
Libya,91.0,2.09,45096462972.0,10.15581818,6172.812469,Low,18.753,Africa
Liechtenstein,100.0,3.89,6378026882.384615,3.0,168647.5684846154,Very High,2.4,Europe
Lithuania,99.8,6.35,79789877416.0,0.342262552,27786.00578,High,6.841,Europe
